cod_cliente|cod_contrato|cod_chamado|data_chamado_andamento|descricao_chamado_andamento|privado_chamado
4|5|3550|0000-00-00 00:00:00| |0
4|977|3617|2006-05-31 14:53:49| |0
4|977|3618|2006-06-01 10:57:45| |0
4|977|3619|2006-05-31 15:17:50| |0
4|977|3634|2006-06-05 10:49:47| |0
2|2|4061|2007-01-15 16:14:44|Roberto, o cliente não estava em sua reidencia no horario marcado.|1
2|2|4061|2007-01-15 16:16:50|O atendimento foi realizado pelo tecnico gilmar que fez ,,....... e o cliente esta normalizado. |0
2|2|4179|2007-03-06 10:27:05| Ok. vitor, estou providenciando.|0
2|2|4179|2007-03-06 10:27:32|Arruda acompanhe esses dados|1
2|2|4179|2007-03-06 10:30:03| Recebi 22 reclamações |0
2|2|4179|2007-03-13 10:48:42| |0
2|2|4208|2007-03-13 10:49:03| O sindico Paulo Celso com o tel. 8448-2276 é quem cuida dos dois blocos, ou seja, é com ele que tenho que pegar a autorização para colocar nos dois blocos, ou é sindico de apenas um dos blocos. Roberto|1
2|2|4208|2007-03-19 18:04:27|O cliente assinou outro provedor.Fran.|0
2|2|4211|2007-03-15 17:46:12|Sr.Saulo informa que contratou outro provedor.Fran.|0
2|2|4212|2007-03-21 09:09:21|o cliente ja instalou adsl ficou muito contrariado com o serviço homefast por nao ter te atendido quando ele mas precisou gilmar|0
2|2|4212|2007-03-21 10:19:05| |0
401|863|4334|2007-04-20 15:35:01|O boleto que o cliente não recebeu, foi referente ao mês de Fevereiro.Fran.|0
401|863|4334|2007-04-20 16:38:16|Entrar em contato com o Maurício na segunda-feira, após as 9h30m.Fran.|0
401|863|4334|2007-04-24 10:04:17|Entrei em contato com o Sr.Mauricio por e-mail, eu o orientei como adquirir o boleto.Fran.|0
79|183|4563|2007-08-16 17:38:59|foi trocado o ponto de local gilmar|0
79|183|4563|2007-08-17 11:36:07| |0
340|607|4629|2007-09-21 09:06:13| |0
79|183|4630|2007-09-25 09:17:43|a maquina do cliente nao esta funcionando as placas usb gilmar|0
79|183|4630|2007-09-25 11:09:51|O cliente confirma que já voltou a acessar.Fran.|0
469|890|5137|2008-09-25 14:12:58| Foi trocado os equipamentos do cliente. Roberto|1
741|1430|5253|2009-04-13 14:57:12| |0
4|921|5305|2009-07-30 16:43:39|somente testando novamente|0
4|921|5305|2009-08-07 09:16:30| |0
761|1499|5308|2009-08-13 14:21:22|O cliente entrou em contato reclamando que a conexão está lenta.Foram relaizados teste no AP e para o AP do cliente e não foi indentificada nenhuma itermitência.Fran|0
761|1499|5308|2009-08-20 17:56:21|Aguardando o andamento do departamento técnico.Fran.|0
761|1499|5308|2009-08-21 17:31:19|O cliente entrou em contato confirmando que o link está normal.Sendo assim, fecharei o chamado.Fran|0
756|1473|5313|2009-08-19 12:57:21|O técnico foi até o local e identificou que o problema está na máquina da cliente, essa é muito antiga e lenta.Fran.|0
401|863|5320|2009-08-21 17:30:29|Atendimento agendado para segunda-feira às 10h.Fran.|0
401|863|5320|2009-08-26 18:04:04|O técnico Evaldo foi ao local, porém foi agendada uma nova visita no dia 03/09 com a presença também do técnico do cliente.Fran.|0
401|863|5320|2009-09-01 10:34:42|foi refeita a tomada rj45 pq estava tendo perda no cabo ate o radio gilmar|0
401|863|5320|2009-09-10 10:19:30| |0
401|863|5320|2009-09-10 11:07:12|Está sendo feita a substituição do rádio que fica no Ed.Várig e que fala para o cliente.Fran.|0
401|863|5320|2009-09-23 10:10:28|Foram feitas auteracoes de frenquencia no AP no varig e no cliente q fica na embaixada. Foi também instalado um hub no telhado, e com isso tivemos melhoras significativas nos testes de transferencia de ftp.|0
744|1435|5324|2009-08-24 09:08:40| |0
761|1499|5334|2009-09-14 09:47:48|Foi agendada uma visita técnica ao cliente para a segunda feira, dia 14/09, porém o mesmo decicidiu marcar para outro dia, ficando este de entrar em contato com a R2 Telecom.Fran.|0
761|1499|5334|2009-09-15 18:31:55|Após as mudanças realizadas no sistema para solucionar o problema de lentidão, o Sr.Fabiano informa que o link está normal.Francineide|0
741|1430|5389|2009-11-13 15:31:54| |0
741|1430|5397|2009-12-01 11:44:07|Os valores já foram corrigidos.Fran.|0
816|1665|5411|2009-12-18 10:21:33|O ATA foi entregue ao cliente, o mesmo fará a instalação na sua residência.Fran.|0
816|1665|5412|2009-12-15 09:29:41| |0
741|1430|5424|2010-01-18 09:23:33|O valor já foi corrigido.Fran.|0
217|1243|5427|2010-01-12 15:29:01|Os ramais já foram liberados..Fran.|0
821|1676|5432|2010-01-25 10:59:58|O ramal foi instalado em um softPhone ( Eyebeam). A conexao do cliente e vivo 3g de 1mb. fiz testes de ligacao e surgiu um problema, nao se ouvi a voz do outro lado. Solicitei a troca do fone que o mesmo usa, ter a certesa de que o problemas esteja no microfone.  |0
821|1676|5432|2010-01-27 08:56:34| |0
829|1707|5451|2010-02-12 08:49:37|Instalação concluida.Fran.|0
741|1430|5452|2010-02-18 14:10:41| |0
741|1673|5453|2010-02-18 14:09:28|O cliente já foi informado que o valor foi corrigido.Fran.|0
829|1707|5457|2010-02-22 08:33:39|O prolbema ocorrido foi por falta de creditos. O ramal ja foi transformado em pos pago. evaldo|1
830|1712|5462|2010-02-24 10:04:42| Aguardando andamento do departamento técnico.Fran.|0
830|1712|5462|2010-02-26 09:19:48|Atendendo ao pedido do clinete,o numero fixo 613262-4434 foi gerado para o ramal 7374. Evaldo|0
830|1712|5462|2010-02-26 09:47:01|Tentei entrar em contato com o cliente, porém este não estava em sua resiência.Fran|0
830|1712|5462|2010-03-01 08:17:36|O ciente já foi informado.Fran.|0
741|1430|5465|2010-03-17 09:16:27|Os valores já foram corrigidos.Fran.|0
829|1707|5468|2010-02-25 15:51:03|A principio existiam dois problemas. Pimeiro, a senha de autenticacao do ranal foi alterada pelo cliente, com isso o voip nao estava autenticando. O segundo, a banda de upload está muito baixa. Por esse motivo a pessoa com o qual esta falando nao consegue ouvir com perfeicao. evaldo|0
829|1707|5468|2010-02-26 09:44:25|A cliente vai verificar sobre o seu plano com a Net e entrará em contato conosco.Fran.|0
761|1499|5473|2010-02-25 15:47:46|A conexao ate o cabo de chegada esta perfeito. problema esta no router do cliente que esta reiniciando a todo momento.|0
761|1499|5473|2010-03-02 08:35:59|Sr.Fabiano entrou em contato informando que continua com problema.Foi agendado um atendimento para o cliente para hoje, dia 02/03.Fran|0
761|1499|5473|2010-03-04 14:15:39|O cliente confirma que o sistema normalizou.Caso tenha problemas, entrará em contato conosco.Fran|0
829|1707|5482|2010-03-02 11:38:26|O cliente abriu o chamado dia 01/03.Fran.|0
829|1707|5482|2010-03-03 14:53:41|Atendimento agendado para o dia 04/03, pela manhã.Fran.|0
830|1712|5483|2010-03-10 08:45:26|O cliente estava sem crédito.Fran|0
741|1430|5509|2010-03-31 12:03:43|ja esta corrigido  Romualdo|0
741|1430|5509|2010-04-14 09:02:22| |1
741|1673|5510|2010-03-31 11:14:41|Retificando o chamado do cliente. A ligação foi realizada no dia 11/02.Fran|0
741|1673|5510|2010-03-31 11:57:11|nao exitem mais registros de ligacoes neste dia.  Romualdo|0
741|1673|5510|2010-04-14 09:03:19| |1
741|1673|5516|2010-04-22 08:10:02|Os valores já foram corrigidos, o cliente já fez o pagamento.Fran.|0
824|1679|5523|2010-04-17 10:15:46|Substituição do roteador Wireless por um DLink DIR600. Atendimento feito por Evaldo. Chamado encerrado por Alexandre.|0
816|1665|5557|2010-05-20 08:45:29|Entrei cm contato com o cliente duas vezes e ele ficou de testar para ver se o sistema está normal e dá um retorno.Fran|0
816|1665|5557|2010-05-20 11:01:18|Tentei entrar em contato novamente com o cliente , mas a ligação está caindo na caixa de mensagem.Fran.|0
816|1665|5557|2010-05-26 09:21:31|O cliente confirma que o sistema está normal.Fran.|0
830|1712|5565|2010-05-19 12:09:10|Foi feita a substituicao do ata ht287 pelo Soundwin SA200. ficou configurado com o ip 172.17.12.225|0
829|1707|5571|2010-05-21 09:41:01|A cliente ficou de fazer a configuração para receber DHCP e entrar em contato conosco.Fran.|0
829|1707|5571|2010-05-26 09:07:20| |0
746|1517|5584|2010-06-10 12:09:30|O telefone do cliente agora está normal.Fran.|0
749|1450|5590|2010-06-14 14:47:46|Atualizacao das configuraçoes de STUN do ata do cliente. alexandre|0
749|1450|5590|2010-06-18 09:07:51|Tentei falar com o cliente não não obtive sucesso.Fran|0
847|1742|5608|2010-07-21 15:54:56|Foram feitas auteracoes nas configuracoes do ata. Evaldo|1
879|1833|5613|2010-07-23 09:46:13|Foi realizada a troca dos atas e auteradas as configuracoes. Todos os ramais estao realizando e recebendo chamadas.   OBS: O cliente reclamou das ligacoes que duravao apenas 8 segundos e caiao, e as mesmas foram tarifadas.|1
879|1833|5613|2010-07-29 10:31:20|Os boletos foram excluidos.Fran.|0
869|1881|5624|2010-08-04 10:12:12|Agendado para quarta-feira, dia 04/08 as 14h.Fran|0
869|1881|5624|2010-08-04 10:39:15|O ATA disponivel para instalação no cliente está bugado. Aguardando chegada do equipamento novo. alexandre|0
869|1881|5624|2010-09-10 17:25:01|Aguardando o andamento do técnico Evaldo, pois a instalação já foi realizada.Fran|0
869|1881|5624|2010-09-20 11:48:55| |0
750|1899|5628|2010-08-06 10:34:22| |0
701|1422|5631|2010-08-06 13:40:17|A cobertura do predio está em obras e o cabo de energia fora rompido acidentalmente. alexandre|0
701|1422|5631|2010-08-09 09:08:54|O sistema normalizou.Fran|0
879|1833|5639|2010-08-16 09:12:51|O ata foi reconfigurado e todos os cabos foram refeitos. evaldo|1
830|1712|5658|2010-08-26 17:34:40|A autenticacao foi configurada no ata. evaldo|1
761|1499|5664|2010-08-31 09:20:42|No horario da lentidao reclamada, ocorreu uma instabilidade na rede. evaldo|1
761|1499|5664|2010-09-01 09:37:44| |0
888|1923|5670|2010-09-02 10:10:09|A cliente confirma que o telefone voltou a funcionar normalmente.Fran.|0
761|1499|5679|2010-09-10 17:18:56|Por duas vezes tentei falar com o cliente, mas o mesmo não estava.Fran|0
761|1499|5679|2010-09-13 12:21:23|O cliente informa que o link está ficando lento na parte da manhã.Fran.|0
761|1499|5679|2010-10-01 16:29:49|Sr.Fabiano confirma que o Link está normal.O cliente ficou que continuar observando.Fran|0
888|1922|5689|2010-09-30 16:55:10|Virado o ponto de repetição para o SgtWolf. Alexandre|0
888|1922|5689|2010-09-30 17:03:31|Desconsiderar andamento a respeito do Repetidor. Alexandre.|0
888|1922|5689|2010-10-04 10:10:53| |0
469|890|5693|2010-09-21 08:49:45|Foi diagnosticado que o ponto que fala para o cliente estava com problema, após a ida do técnico ao local o sistema foi normalizado.Fran|0
469|890|5693|2010-09-21 08:51:43| |0
469|890|5702|2010-09-23 17:09:37|A Sra. Daiane ligou informando que os links já voltaram e estão ok. Roberto|1
824|1679|5729|2010-10-15 17:12:44|Atendimento agendado para segunda-feira, dia 18/10 pela manhã.Fran|0
824|1679|5729|2010-10-19 14:01:58|Em visita do tecno, os parametros de configuracoes do radio foram mudados e o problema resolvido. Evaldo|1
847|1742|5740|2010-10-20 14:36:27|Sera realizada troca do ata. Evaldo|1
847|1742|5740|2010-10-25 13:03:31|Ja foi realizada a troca do ata na casa do cliente. Foi retirado um ata Soundwin e instalado um Granstream ht502. O novo ata fiou com o IP 172.17.12.199. evaldo|1
469|890|5742|2010-10-26 10:29:07|Foi verificado.O Romualdo falou diretamente com uma pessoa da Tecnologia, sendo essa do sexo feminino.Fran|0
761|1499|5749|2010-10-27 11:28:10|O Sr.Fabiano confirma que o link normalizou.Fran|0
888|1922|5754|2010-11-05 09:17:33|Aguardando chegada de equipamento.Evaldo|1
888|1922|5754|2010-12-03 10:29:42|O equipamento da cliente já instalado.Fran|0
824|1679|5758|2010-11-10 08:59:45|Problema provocado por instabilidade no repetidor no Sudoeste. Problema ja resolvido. Evaldo|1
824|1679|5758|2010-11-11 16:32:25| |0
830|1712|5762|2010-11-10 14:54:55|Estivemos na residencia do cliente às 14:20 e o mesmo nao estava presente. Aguardando agendar nova visita. Alexandre|0
830|1712|5762|2010-11-10 15:00:33|Estivemos na residencia do cliente porem nao havia ninguem em casa. Aguardando novo agendamento de visita.|0
830|1712|5762|2010-11-11 16:31:05|O telefone do cliente voltou a funcionar, o problema foi que ele o conectou no fax.Fran.|0
761|1499|5764|2010-11-16 08:43:00|Sr.Fabianoo confirma que o link normalizou.Fran.|0
750|1451|5768|2010-11-16 14:51:50|O valor será descontado no que a R2 Telecom tem de pagar para a TCI. Francineide|0
879|1833|5771|2010-12-01 17:58:38|agendar visita tecnica. Evaldo|1
879|1833|5771|2010-12-09 09:28:50|Atualizada a versao de firmware do ATA de 8 portas e feitos testes de ligação. Não sei se era um evento pontual ou nao, mas durante o atendimento, o link de internet apresentava quedas constantes. Informei ao cliente que não encerraria o chamado para um período de testes.|0
879|1833|5771|2011-01-10 17:08:44|Os telefones estão funcionando normalmente.Fran|0
469|890|5782|2010-11-25 10:10:00|A intermitencai foi gerada por interferencia na frequencia que o radio estava operando. A frequencio de operacao foi auterada e com isso o link voltou a normalidade. Evaldo|1
469|890|5782|2010-11-25 10:18:12|Entrei em contato e o Sr.Rogério confirmou que o link está normal.Fran.|0
749|1450|5786|2010-12-06 09:47:51|a visita tecnica foi realizada, e feita uma mudanca nas configuracoes do ata no cliente, foi configurado pra auto provissionamento. Evaldo |1
830|1712|5790|2010-12-09 09:26:42|Substituí o ATA do cliente.|0
830|1712|5790|2010-12-14 08:21:48|Tentei falar com o cliente, mas ninguém atendeu o telefone.Fran|0
830|1712|5790|2010-12-15 10:06:48|Entrei em contato com o cliente para confirmar o atendimento, mas o mesmo não pode falar.Sendo assim, pedi que entrasse em contato conosco assim que possível.Fran |0
869|1881|5795|2010-12-08 10:04:13|  Atendimento agendado para quinta -feira , dia 09/12 pela manhã.Fran|0
869|1881|5795|2010-12-13 08:55:10|Após o cliente dar boot no ATA, o telefone voltou a funcionar normalmente.Fran.|0
79|183|5800|2010-12-20 08:34:42|O par metalico estava partido em uma das caixa de passagem. Evaldo|0
830|1712|5806|2010-12-22 09:39:55|Aguardando andamento do departamento técnico.O atendimento foi realizado pelo técnico Alexandre.Fran.|0
830|1712|5806|2011-01-10 09:14:52|O sistema já está no ar.Fran|0
749|1450|5810|2011-01-03 12:02:41|Sra.Rosangela solicitou que o atendimento seja agendado para terça-feira, dia 04/01 pela manhã.Fran|0
749|1450|5810|2011-01-18 10:34:36|O cliente confirma que o telefone voltou a funcionar.Fran.|0
879|1833|5820|2011-01-22 08:44:09|O problema foi informado e passado para o Romualdo. Evaldo|1
879|1833|5820|2011-02-07 17:17:48|Entrei em contato com a Mark e fui indirmada que o telefone não estava mais pedindo senha, a cliente pediu que este peça senha.Entrei no seu ramal e marquei a opção pedir senha.Fran|0
879|1833|5820|2011-02-10 09:56:41|Entrei em contato com a cliente e a mesma confirmou que o telefone está normal, pedindo senha apenas uma vez.Foi passado também para a cliente o seu número, 3262-4400.Fran|0
401|863|5847|2011-02-11 13:20:59|Ao testar os radios foi detectado que os enlace estava sem performace. Auterei as configuracoes dos radio, diminuindo a capacidade de transmissao de 24Mbps para 18Mbps. Com isso o enlace passou a ter um throughput de TX 9.03Mbps / RX 9.09Mbps. Evaldo.|1
401|863|5847|2011-02-14 10:22:22|O técnco Evaldo entrou em contato com a Sra.Ana Sofia e essa confirmou que o Link normalizou.Francineide|0
469|1807|5872|2011-02-24 09:07:58|O problema estava no enlace entre o repetidor do Recanto da Emas e o proprio TRT. O problema foi resolvido. Evaldo|1
756|1473|5875|2011-02-24 15:58:49| Thu Feb 24 15:43:26 2011 : Auth: Login OK: [instituto] (from client pppoeserver port 29 cli 004f621571e2)  O usuário da cliente bateu no radius.Francineide|0
756|1473|5875|2011-02-25 14:57:55|A cliente trocou o computador, por isso não está navegando.Agendado atendimento para terça-feira, dia 01/03 no período da tarde.Francineide|0
756|1473|5875|2011-03-03 11:52:51|O tecnico Gilmar em visita a cliente, faz a intalacao informada. Evaldo |1
756|1473|5876|2011-02-24 15:58:33| |1
829|1707|5889|2011-03-05 10:09:32|O cliente ja e nosso cliente voip. Foi ativado tambem internet com link homefast de 2mb. Evaldo|1
829|1707|5902|2011-03-18 10:17:56|Foi identificado que o telefone do cliente estava sem crédito, por isso não conseguia fazer ligações.Mas a esposa do cliente reclama que a linha está caindo no meio da ligação.Fran|0
829|1707|5902|2011-03-21 12:48:14|Sra.Renata entrou em contato reclamando que o telefone está com problema.As ligações estão picotando e caindo.Fran|0
829|1707|5902|2011-03-28 08:55:34|A esposa do cliente ligou novamente reclamando que as ligações continuam caindo.Francineide|0
829|1707|5902|2011-03-29 08:57:32|A cliente entrou em contato reclamando que não estava conseguindo fazer ligações, pois o telefone apresenta a mensagem que está bloqueado para realizar chamadas.Francineide|0
829|1707|5902|2011-03-29 09:00:16|Verifique o contrato da cliente e não encontrei nenhum problema.O contrato estava ativo e o ramal possui crédito, sendo assim reportei o problema o Romualdo.Francineide|0
829|1707|5902|2011-03-29 09:05:47|Onservei que a cliente fez ligações hoje, dia 29/03.Liguei para confirmar se estava normal, mas a ela não estava.Francineide|0
829|1707|5902|2011-04-11 08:13:17| |0
888|1922|5953|2011-04-18 08:51:06|O problema foi gerado pela troca de senha de um dois ramais. Evaldo|1
888|1922|5953|2011-04-18 09:03:35| |0
469|1807|5967|2011-05-04 12:03:54|O problema estava no nosso Link que estava como problema.O sistema agora está no ar.Entrei em contato com o Sr.Rogério e o mesmo confirmou que o link normalizou.Francineide|0
469|890|5968|2011-05-04 12:01:56|O problema estava no nosso Link que estava como problema.O sistema agora está no ar.Entrei em contato com o Sr.Rogério e o mesmo confirmou que o link normalizou.Francineide|0
984|2121|5972|2011-05-18 10:07:00| |0
984|2121|5972|2011-05-18 10:07:04| |0
761|1499|5981|2011-05-20 09:30:21|Foi diagnosticado um problema no equipamento onde se concentra seus dois links. O cliente ficou de providenciar o novo equipamento. Evaldo|1
401|863|5985|2011-05-18 10:09:38|O técnico Evaldo verificou o consumo do cliente e identicou que a lentidão estava sendo provocada porque o uso estava exatamente em 2Mb, velocidade disponibilizada.Francineide|0
469|1807|6026|2011-06-20 08:11:32|O problema estava em servidor do cliente. Evaldo|1
469|1807|6026|2011-06-20 08:14:21| |0
761|1499|6032|2011-06-28 08:49:16|Foram realizados testes no link, mas não foi identificado nenhum problema.Foi agendada visita do técnico no local.Francineide|0
761|1499|6032|2011-06-28 11:02:20|Os técnicos estiveram no Terraço e identificaram que os nossos equipamentos haviam sido desligados, por esse motivo o cliente estava sem acesso.Após ligar os equipamentos o sistema normalizou.O cliente confirma que voltou a cessar.Francineide|0
750|1451|6037|2011-06-30 11:04:02| |0
401|863|6039|2011-07-07 11:13:10| |0
401|863|6041|2011-07-07 11:12:29|Aguardando o andamento do departamento técnico.Francineide Observar o chamado: 6039|0
401|863|6041|2011-07-25 08:30:55|O radio estava no chao. Evaldo|1
761|1499|6048|2011-07-11 17:26:56| |0
469|1807|6053|2011-07-15 13:56:39|Chamado aberto erradamente.A reclamação era apar o TRT da 513.Francineide|0
469|1807|6053|2011-07-15 13:57:59| |0
749|1450|6054|2011-07-26 08:30:14|Sr.Cassio entrou em contato solicitando o cancelamento do sinal de internet, pois está mudando de endereço.O cliente pediu para continuar com a linha voip, pois pretende ativar na sua nova residência.Francineide|0
749|1450|6054|2011-07-28 10:55:12| |0
869|1881|6063|2011-07-22 10:50:26|Tentei entrar em contato com o cliente, mas a ligação está caindo na caixa de mensagens.Francineide|0
869|1881|6063|2011-07-25 08:33:39|O cliente entrou em contato informando que o sinal voltou ao normal, mas ia testar a telefonia e retornar a ligação.Francineide|0
869|1881|6063|2011-07-28 10:22:30|O cliente confirma que o telefone voltou ao normal.Francineide|0
750|1897|6064|2011-07-21 16:08:53| |0
401|863|6085|2011-08-11 12:03:32|O técnico Evaldo testou o link e não indentificou nenhuma intermitência para o cliente. Entrei em contato hoje e o Maurício confimou que o sinal está normal. Sendo assim, fecharei o chamado. Mas acho necessário testes mais profundos, pois a reclamação é constante.Francineide|1
1007|2180|6088|2011-08-23 11:28:33| |0
469|890|6106|2011-08-23 08:41:13|O Link estava com problema, por esse motivo o cliente não estava abrindo.Francineide|0
469|890|6127|2011-09-09 15:20:12|O problema foi provocado por uma intermitêncio no link do Ed.Várig, normalizando em seguida.O Sr.confirmou que o sinal voltou ao normal.Francineide|0
469|890|6132|2011-09-14 16:44:09|O procedimento foi feito pelo Romualdo.Francineide|0
879|2036|6146|2011-11-07 09:32:36|O cliente está viajando e enviou uma mensagem informando que assim que chegar, entrará em contato com a R2.FRANCINEIDE|0
879|2036|6146|2011-11-21 15:16:10|Por favor agendar o atendimento do cliente.Francineide|0
879|2036|6146|2012-07-16 15:08:14| |0
750|1451|6147|2011-09-16 14:23:26| |0
1009|2186|6150|2011-09-19 10:18:17|O boleto foi cancelado.Francineide|0
830|1712|6158|2011-10-04 16:28:20|O problema foi devido a uma intermitencia na internet. Francineide|0
469|890|6168|2011-09-29 17:14:39|sistema normalizado, o problema foi no radio de chegada no local.  |0
1039|2269|6174|2011-10-04 16:24:49|Observar o chamado 6176.Francineide|0
1039|2269|6176|2011-10-04 16:20:27|O técnico Evaldo esteve à sala do cliente e indentificou que o telefone nào estava configurado. No que diz respeito às tarifas e configuração dos ramais, todas as mudanças já foram feitas.Francineide|0
469|890|6179|2011-10-06 16:38:34|Entrei em contato e informei ao cliente que o problema de Aguas Claras foi provocado por falta de energia no local. No que diz respeito a Fazendinha, a falha era apenas ausencia de uma configuração, logo após a configuração ser feita o Link normalizou. O Sr.Davi confirmou que o sinal estava normal para os dois pontos.Francineide|0
469|890|6181|2011-10-06 17:06:10|Entrei em contato com o Sr.Davi e informei que o link estava normal, esse ficou de mudar novamente a saida para o link da R2 Telecom.Francineide|0
1039|2267|6187|2011-10-11 09:23:22|O sistema de telefonia estava em ,amiyenção. Logo em seguida normalizou e entrei em contato com o cliente, após reiniciar os aparelhos voltou a ligar normalmente.Francineide|0
469|890|6198|2011-10-19 16:04:12|O link da Fazendinha estava fora porque o Colorado estava intermitente. Após a visita dos técnicos ao local o link voltou ao normal. No que diz respeito ao Gama, também estava fora. O técnico esteve no local e substituiu o equipamento que estava queimado. Em seguida entrei em contato com o Sr.Rafael, o mesmo confirmou que o link havia normalizado.Francineide|0
469|890|6202|2011-10-17 10:05:48|O rádio do colorado estava fora. Após a substituição do equipamento que havia queimado, o sistema normalizou.O Sr.Danilo foi informado.Francineide|0
79|183|6214|2011-11-01 17:12:05|O rádio do prédio foi substitudo por um M2, o equipamento não voltou a cair.Francineide|0
1039|2267|6216|2011-10-20 15:44:50|Sr.Fernando entrou em contato solicitando que seja enviado um documento formal em que conste as informações a respeito da mudança do número público.Francineide|1
1039|2267|6216|2011-10-24 09:39:16|Por favor observar o chamado 6217.Francineide|0
1039|2278|6217|2011-10-26 17:00:28|O novo número já foi informado ao cliente. No que diz respeito a alguma despesa decorrente da substituição, a R2 Telecom está disposta à arcar, des que sejam devidamente apresentas as NF.Francineide|0
738|1411|6221|2011-10-26 11:47:04|Link que vai para o cliente estava intermitente, mas normalizou alguns minutos depois. Sr.Júlio confirma que o link está normal.Francineide|0
469|890|6228|2011-10-27 08:59:51|O link já está no ar. Francineide|0
469|890|6234|2011-11-07 09:15:49|Os técnicos estiveram no local e após reiniciar o rádio o link voltou ao normal.Francineide|0
746|1516|6244|2011-11-08 10:50:46|Foi instalado o nano station 5 na janela do cliente, como isso o cliente esta navengando a 3mb. Foi também reinstalado o ata do cliente. Por favor, ligar para o cliente e confirmar se os problemas foram sanados. Evaldo|1
746|1516|6244|2011-11-09 17:03:29|A tendimento já foi realizadao e o cliente já está fazendo ligações por meio do voip.Francineide|0
756|1473|6260|2011-11-10 14:58:27|A cliente confirma que após a visita do técnico voltou a acessar.Francineide|0
469|890|6268|2011-11-11 17:02:54|Sr.Danilo foi informado que o problema foi provocado por falta de energia no local, fornecida pela CEB. Após quase duas horas a energia foi reestabelecida e o link voltou a operar normalmente. Em seguida entrei em contato novamente para confirmar e o Sr.Dimas confirmou que o link está no ar.Francineide|0
469|890|6270|2011-11-16 09:50:30|O chamado foi aberto na segunda-feira, dia 14/11.Francineide|0
469|890|6270|2011-11-21 14:58:04|Aguardando andamento do técnico Evaldo, pois o atendimento foi feito via telefone.Francineide|0
469|890|6270|2011-12-02 11:02:00|O técnico Evaldo verificou e não foi indentificada nenhuma intermitencia, o Sr.Rafael foi informado e identificou que era problema interno.Francineide|0
750|1897|6279|2011-11-21 15:23:06| |0
469|890|6292|2011-12-02 11:00:42|O rádio do local estava fora, após ser reiniciado pelos técnicos da R2, o sistema normalizou em seguida. O Sr.Rafael confirmou.Francineide|0
469|890|6296|2011-12-16 18:07:21|sistema normalizado   Romualdo|0
750|1897|6330|2011-12-22 16:56:01| |0
